fxID	minYear	maxYear
9719	2000	2017
9723	1997	2012
9730	2006	2017
9731	2006	2017
9747	1992	2008
9753	2005	2018
9759	2003	2017
9760	2004	2018
9765	2002	2017
9771	1995	2017
9774	2001	2013
9776	2005	2016
9792	2000	2018
9801	1988	2017
9804	2003	2018
9808	2001	2018
9811	2006	2016
9813	2005	2017
9814	1995	2017
9819	2000	2016
9838	1996	2017
9840	2001	2012
9841	1998	2018
9848	1997	2016
9849	1996	2016
9852	2007	2017
9854	2003	2016
9866	2001	2013
9876	1984	2017
9882	2003	2018
9887	2007	2018
9890	1999	2010
9893	1981	2003
9895	2002	2015
9898	1997	2018
9899	1997	2018
9909	2006	2017
9910	1992	2008
9911	2004	2016
9914	2005	2017
9915	2005	2018
